index,brand,id,name,num_reviews,rating,total_stars,bayesian_est
/total-truth-vitamin-c-eye-creme-spf-15-P291520,Ole Henriksen,P291520,Total Truth™ Vitamin C Eye Crème SPF 15,169,3.8343,647.9967,3.78769106145
/miracle-worker-retinoid-eye-repair-cream-P377330,philosophy,P377330,Miracle Worker Retinoid Eye Repair Cream,247,3.8178,942.9966,3.78597898833
/renergie-lift-multi-action-eye-P376136,Lancôme,P376136,Rénergie Lift Multi-Action Eye,53,3.9245,207.9985,3.77775396825
/all-in-one-b-b-eye-brightener-broad-spectrum-spf-20-P387069,boscia,P387069,All-In One B.B. Eye Brightener Broad Spectrum SPF 20,39,3.9744,155.0016,3.77554285714
/no-concealer-concealer-spf-35-P311147,Perricone MD,P311147,No Concealer Concealer SPF 35,147,3.8231,561.9957,3.77067324841
/line-release-under-eye-repair-cream-P232920,Kate Somerville,P232920,Line Release Under Eye Repair Cream,59,3.8814,229.0026,3.75366086957
/vinosource-s-o-s-morning-eye-rescue-P379068,Caudalie,P379068,Vinosource S.O.S. Morning Eye Rescue,85,3.8353,326.0005,3.74737368421
/renewed-hope-in-jar-eye-P392233,philosophy,P392233,Renewed Hope In A Jar Eye,65,3.8615,250.9975,3.74663333333
/repairwear-laser-focus-wrinkle-correcting-eye-cream-P377576,CLINIQUE,P377576,Repairwear Laser Focus Wrinkle Correcting Eye Cream,105,3.8095,399.9975,3.73910869565
/glow-by-dr-brandt-revitalizing-retinol-eye-cream-P377124,Dr. Brandt Skincare,P377124,glow by dr. brandt™ revitalizing retinol eye cream,75,3.8133,285.9975,3.71761764706
/eye-contour-balm-P94818,Clarins,P94818,Eye Contour Balm,45,3.8444,172.998,3.69087272727
/professional-strength-micropoint-pm-patch-system-advanced-eye-wrinkle-treatment-P404324,Peter Thomas Roth,P404324,PROfessional Strength MicroPoint PM Patch System Advanced Eye Wrinkle Treatment,6,4.8333,28.9998,3.6874875
/resveratrol-lift-eye-lifting-balm-P400610,Caudalie,P400610,Resveratrol Lift Eye Lifting Balm,32,3.875,124.0,3.66666666667
/black-pine-firming-antiwrinkle-lifting-eye-cream-P387649,KORRES,P387649,"Black Pine Firming, Lifting & Antiwrinkle Eye Cream",45,3.8,171.0,3.65454545455
/shaba-complex-eye-serum-P397391,Drunk Elephant,P397391,Shaba Complex™ Eye Serum,24,3.9167,94.0008,3.64708235294
/age-arrest-eye-cream-P383308,Kate Somerville,P383308,Age Arrest Eye Cream,21,3.9524,83.0004,3.64517419355
/ultimate-lift-eye-gel-tm-P387216,Ole Henriksen,P387216,Ultimate Lift Eye Gel™,213,3.6714,782.0082,3.64129237668
/moisturizing-firming-eye-cream-P394640,belif,P394640,Moisturizing & Firming Eye Cream,23,3.8696,89.0008,3.60608484848
/advanced-anti-aging-eye-cream-broad-spectrum-sunscreen-spf-37-P382079,Supergoop!,P382079,Advanced Anti-Aging Eye Cream Broad Spectrum Sunscreen SPF 37,43,3.7442,161.0006,3.60378490566
/ibuki-eye-correcting-cream-P381195,Shiseido,P381195,IBUKI Eye Correcting Cream,60,3.7,222.0,3.6
/abeille-royale-gold-eyetech-eye-sculpt-serum-P403606,Guerlain,P403606,Abeille Royale Gold Eyetech Eye Sculpt Serum,5,4.8,24.0,3.6
/cold-plasma-eye-P262702,Perricone MD,P262702,Cold Plasma Eye,159,3.6352,577.9968,3.59761420118
/lotus-youth-preserve-eye-cream-P392865,Fresh,P392865,Lotus Youth Preserve Eye Cream,57,3.7018,211.0026,3.59705373134
/intensive-vitalizing-eye-essence-P394619,AmorePacific,P394619,Intensive Vitalizing Eye Essence,29,3.7931,109.9999,3.58974102564
/eye-duty-triple-remedy-overnight-balm-P393601,First Aid Beauty,P393601,Eye Duty Triple Remedy Overnight Balm,75,3.6533,273.9975,3.57644117647
/white-lucent-anti-dark-circles-eye-cream-P205614,Shiseido,P205614,White Lucent Anti-Dark Circles Eye Cream,221,3.6018,795.9978,3.57574805195
/puff-off-P392379,Benefit Cosmetics,P392379,Puff Off!,171,3.6082,617.0022,3.57459779006
/future-response-age-defense-dual-eye-creme-P386926,AmorePacific,P386926,Future Response Age Defense Dual Eye Creme,42,3.6905,155.001,3.55771153846
/reviving-eye-cream-P309211,Omorovicza,P309211,Reviving Eye Cream,8,4.25,34.0,3.55555555556
/time-in-a-bottle-tm-for-eyes-P385346,philosophy,P385346,Time In A Bottle™ For Eyes,41,3.6829,150.9989,3.54899803922
/cytocell-dark-circle-corrective-eye-cream-P286709,Kate Somerville,P286709,CytoCell™ Dark Circle Corrective Eye Cream,97,3.5979,348.9963,3.54202149533
/keep-young-beautiful-anti-ageing-eye-cream-P377003,REN,P377003,Keep Young and Beautiful Anti-Ageing Eye Cream,33,3.697,122.001,3.53490697674
/genius-ultimate-anti-aging-eye-cream-P388262,Algenist,P388262,Genius Ultimate Anti-Aging Eye Cream,58,3.6207,210.0006,3.52942058824
/ultimate-miracle-worker-eye-cream-P398832,philosophy,P398832,Ultimate Miracle Worker Eye Cream,13,3.9231,51.0003,3.52175217391
/lift-lighten-eye-cream-P78325,Dr. Dennis Gross Skincare,P78325,Lift & Lighten Eye Cream,70,3.5571,248.997,3.4874625
/restorative-eye-creme-P386739,Tata Harper,P386739,Restorative Eye Creme,21,3.7143,78.0003,3.48388064516
/essential-power-eye-cream-P394692,SK-II,P394692,Essential Power Eye Cream,7,4.1429,29.0003,3.47060588235
/facial-treatment-essence-eye-P390175,SK-II,P390175,Facial Treatment Essence - Eye,6,4.1667,25.0002,3.4375125
/eye-revive-creme-P383063,Radical Skincare,P383063,Eye Revive Crème,16,3.6875,59.0,3.42307692308
/absolue-premium-bx-absolute-replenishing-eye-cream-P158705,Lancôme,P158705,ABSOLUE PREMIUM Bx - Absolute Replenishing Eye Cream,21,3.619,75.999,3.41932258065
/eye-contour-lifting-cream-P399748,Lancer,P399748,Eye Contour Lifting Cream,15,3.6667,55.0005,3.40002
/illumnikate-concealing-eye-cream-P387262,Kate Somerville,P387262,IllumniKate ™ Concealing Eye Cream,13,3.6923,47.9999,3.3913
/nutri-define-eye-contour-balm-P399982,Jurlique,P399982,Nutri-Define Eye Contour Balm,4,4.25,17.0,3.35714285714
/dr-andrew-weil-for-origins-tm-mega-bright-dark-circle-minimizer-P384394,Origins,P384394,Dr. Andrew Weil for Origins™ Mega-Bright Dark Circle Minimizer,98,3.3469,327.9962,3.31477962963
/ice-cold-eye-cream-P399714,Kenzoki,P399714,Ice-Cold Eye Cream,6,3.8333,22.9998,3.3124875
/flawless-skin-repair-eye-creme-P280936,Laura Mercier,P280936,Flawless Skin Repair Eye Crème,12,3.5,42.0,3.27272727273
/belle-de-jour-angel-eyes-white-lotus-care-P399728,Kenzoki,P399728,Belle de Jour Angel Eyes White Lotus Care,6,3.6667,22.0002,3.2500125
/lotus-caress-to-moisturize-eyes-P399712,Kenzoki,P399712,Lotus Caress to Moisturize Eyes,2,4.5,9.0,3.25
/herbal-recovery-advanced-eye-serum-P393717,Jurlique,P393717,Herbal Recovery Advanced Eye Serum,4,3.75,15.0,3.21428571429
/resilience-lift-firming-sculpting-eye-creme-P380026,Estée Lauder,P380026,Resilience Lift Firming/Sculpting Eye Creme,4,3.75,15.0,3.21428571429
/divine-eyes-P396251,L'Occitane,P396251,Divine Eyes,3,3.6667,11.0001,3.15385384615
